"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.631462880E-1,-4.653137207E0,5.991516113E-1,9.157821655E0,1.028962419E1
5.681511710E-1,-4.523849487E0,7.284393311E-1,8.502410889E0,9.658510701E0
5.731560540E-1,-4.477157593E0,8.541259766E-1,9.983215332E0,1.097447309E1
5.781304190E-1,-4.568130493E0,4.644775391E-1,8.446151733E0,9.613585943E0
5.831353020E-1,-4.333511353E0,7.817077637E-1,9.005187988E0,1.002416073E1
5.880486320E-1,-4.410720825E0,6.931152344E-1,9.652221680E0,1.063486014E1
5.929924790E-1,-4.566345215E0,3.710937500E-1,8.052902222E0,9.264904392E0
5.979668450E-1,-4.468780518E0,6.141052246E-1,9.597763062E0,1.060491303E1
6.029717270E-1,-4.854843140E0,2.585754395E-1,9.014175415E0,1.024166596E1
6.079766100E-1,-4.618408203E0,2.310333252E-1,8.216903687E0,9.428710247E0
6.129814930E-1,-4.485534668E0,4.507141113E-1,9.999389648E0,1.096863518E1
6.179863760E-1,-4.509475708E0,1.435852051E-2,8.694549561E0,9.794425424E0
6.229912590E-1,-4.205413818E0,3.124389648E-1,9.078811646E0,1.001039182E1
6.279961410E-1,-4.267669678E0,2.968750000E-1,9.943115234E0,1.082435586E1
6.330010240E-1,-4.432861328E0,-6.344604492E-2,8.246231079E0,9.362404177E0
6.380059070E-1,-4.205413818E0,2.789306641E-1,9.637252808E0,1.051855263E1
6.430107900E-1,-4.611831665E0,-7.661437988E-2,9.367309570E0,1.044132892E1
6.480156730E-1,-4.586090088E0,-1.717834473E-1,8.306686401E0,9.490140716E0
6.530205560E-1,-4.626190186E0,7.601928711E-2,9.985015869E0,1.100490602E1
6.580254380E-1,-4.838684082E0,-3.926544189E-1,8.675994873E0,9.941827205E0
6.630303210E-1,-4.678863525E0,-3.166351318E-1,9.036911011E0,1.018124660E1
6.680352040E-1,-5.013458252E0,-4.674682617E-1,1.113603210E1,1.222147705E1
6.730400870E-1,-4.897338867E0,-8.553314209E-1,1.013166809E1,1.128566427E1
6.780449700E-1,-4.385574341E0,-3.208160400E-1,1.081581116E1,1.167552809E1
6.830498520E-1,-4.384979248E0,-4.459228516E-1,9.905410767E0,1.084177350E1
6.880547350E-1,-4.037216187E0,-2.286529541E-1,7.865554810E0,8.844113815E0
6.930596180E-1,-3.928283691E0,1.897430420E-1,9.515151978E0,1.029589881E1
6.980645010E-1,-4.195236206E0,-2.142791748E-1,8.521560669E0,9.500679903E0
7.030693840E-1,-3.998916626E0,-2.214050293E-2,8.803482056E0,9.669184076E0
7.080742660E-1,-4.258682251E0,7.241821289E-2,1.034474182E1,1.118728306E1
7.130791490E-1,-4.447830200E0,-2.142791748E-1,8.546096802E0,9.636642548E0
7.180840320E-1,-4.248504639E0,2.663574219E-1,9.342773438E0,1.026684730E1
7.230583970E-1,-4.608245850E0,6.164550781E-2,9.339782715E0,1.041495421E1
7.280632800E-1,-4.774642944E0,-1.568145752E-1,7.869735718E0,9.206223239E0
7.330681630E-1,-5.082290649E0,1.077270508E-2,9.719863892E0,1.096838859E1
7.380730460E-1,-5.487503052E0,-5.351104736E-1,9.021957397E0,1.057330356E1
7.430474110E-1,-5.217559814E0,-5.452728271E-1,8.874114990E0,1.030874239E1
7.480522940E-1,-4.984130859E0,-5.345001221E-1,1.042674255E1,1.156910589E1
7.530571770E-1,-4.711196899E0,-7.314300537E-1,8.681381226E0,9.904380149E0
7.580620590E-1,-4.027648926E0,-1.316833496E-1,9.502593994E0,1.032175319E1
7.630364250E-1,-4.086898804E0,-9.516906738E-2,9.500198364E0,1.034241596E1
7.680413080E-1,-4.059371948E0,-1.825561523E-1,7.813476562E0,8.806942906E0
7.730461900E-1,-4.004302979E0,2.543792725E-1,9.502593994E0,1.031496213E1
7.780510730E-1,-4.428680420E0,1.562194824E-1,7.504028320E0,8.714818175E0
7.830559560E-1,-4.610641479E0,-1.257324219E-2,5.015853882E0,6.812999567E0
7.879692860E-1,-3.480575562E0,1.460418701E-1,9.656417847E0,1.026558036E1
7.929131340E-1,-3.712203979E0,3.710937500E-1,1.128627014E1,1.188688616E1
7.978874990E-1,-3.998916626E0,6.979064941E-1,1.044949341E1,1.121027743E1
8.028923820E-1,-4.475357056E0,3.770904541E-1,8.909423828E0,9.977417047E0
8.078972650E-1,-4.289810181E0,1.789703369E-1,7.107192993E0,8.303414599E0
8.129021470E-1,-3.943847656E0,4.674682617E-1,9.508575439E0,1.030463332E1
8.179070300E-1,-4.393951416E0,1.065368652E-1,9.678558350E0,1.062980013E1
8.229119130E-1,-4.254501343E0,2.148742676E-1,8.911819458E0,9.877625154E0
8.279167960E-1,-4.488525391E0,3.238220215E-1,1.028967285E1,1.123072074E1
8.329216790E-1,-4.605850220E0,9.037780762E-2,8.580215454E0,9.738691988E0
8.379265610E-1,-4.541198730E0,3.333892822E-1,8.921997070E0,1.001676924E1
8.429314440E-1,-4.978149414E0,3.411712646E-1,9.717468262E0,1.092371543E1
8.479363270E-1,-5.063140869E0,1.484375000E-1,7.820663452E0,9.317736098E0
8.529412100E-1,-5.072708130E0,3.064575195E-1,9.815032959E0,1.105265380E1
8.579460930E-1,-5.167282104E0,1.616058350E-1,1.041836548E1,1.163053137E1
8.629509750E-1,-4.698028564E0,2.627563477E-1,9.246414185E0,1.037481029E1
8.679558580E-1,-4.511871338E0,2.130889893E-1,1.028549194E1,1.123359846E1
8.729607410E-1,-4.430465698E0,-1.885375977E-1,9.071029663E0,1.009693775E1
8.779656240E-1,-4.139572144E0,-1.041412354E-1,9.356536865E0,1.023189548E1
8.829705070E-1,-4.286224365E0,-2.597656250E-1,9.992202759E0,1.087581323E1
8.879753900E-1,-4.150939941E0,-4.471130371E-1,8.403045654E0,9.383037287E0
8.929802720E-1,-4.368820190E0,-4.824371338E-1,9.607925415E0,1.056558405E1
8.979851550E-1,-4.895538330E0,-8.110351562E-1,9.320022583E0,1.055873546E1
9.029900380E-1,-5.213973999E0,-7.457885742E-1,7.909240723E0,9.502516207E0
9.079949210E-1,-5.547363281E0,-2.831115723E-1,9.403228760E0,1.092126836E1
9.129692860E-1,-5.487503052E0,-8.918762207E-2,8.142074585E0,9.819064249E0
9.179741690E-1,-5.419281006E0,1.460418701E-1,8.152862549E0,9.790766190E0
9.229790520E-1,-5.544967651E0,2.741394043E-1,9.275131226E0,1.080971220E1
9.279839340E-1,-5.363006592E0,1.939239502E-1,7.408264160E0,9.147777001E0
9.329888170E-1,-5.128387451E0,3.226165771E-1,8.899246216E0,1.027623581E1
9.379631830E-1,-5.301361084E0,7.164611816E-1,8.233062744E0,9.818404561E0
9.429680650E-1,-5.076309204E0,7.817077637E-1,6.613388062E0,8.373582496E0
9.479729480E-1,-5.142745972E0,4.818267822E-1,9.191345215E0,1.054328317E1
9.529473130E-1,-5.668273926E0,5.722198486E-1,8.606552124E0,1.032131311E1
9.579521960E-1,-5.004486084E0,8.271942139E-1,7.979873657E0,9.455554707E0
9.629570790E-1,-5.232528687E0,7.266387939E-1,9.416992188E0,1.079755075E1
9.679619620E-1,-5.143341064E0,3.525390625E-1,8.416809082E0,9.870203454E0
9.729363270E-1,-4.934448242E0,6.494293213E-1,9.448715210E0,1.067936126E1
9.779412100E-1,-5.577896118E0,7.080841064E-1,8.955505371E0,1.057427939E1
9.829460930E-1,-5.379776001E0,5.817871094E-1,6.754638672E0,8.654802693E0
9.878594230E-1,-5.364212036E0,1.026519775E0,9.175781250E0,1.067817752E1
9.928032700E-1,-5.241500854E0,1.429931641E0,8.394073486E0,9.998925212E0
9.977776360E-1,-4.638763428E0,1.556823730E0,7.357986450E0,8.836390149E0
1.002782518E0,-4.994903564E0,1.170761108E0,1.041717529E1,1.161194576E1
1.007787401E0,-5.146331787E0,4.788360596E-1,9.531311035E0,1.084250455E1
1.012792284E0,-5.039199829E0,8.463439941E-1,9.772537231E0,1.102779747E1
1.017797167E0,-5.427062988E0,6.524200439E-1,1.025495911E1,1.162079390E1
1.022802050E0,-5.658096313E0,3.519439697E-1,9.241622925E0,1.084184084E1
1.027806933E0,-5.874176025E0,1.945343018E-1,1.139161682E1,1.281845238E1
1.032811815E0,-6.282379150E0,-1.592102051E-1,1.068472290E1,1.239584362E1
1.037816698E0,-6.117782593E0,-6.823730469E-2,9.366714478E0,1.118781749E1
1.042821581E0,-6.135147095E0,-1.125335693E-1,1.038545227E1,1.206276554E1
1.047826464E0,-6.140533447E0,-3.016662598E-1,9.077621460E0,1.096359270E1
1.052831347E0,-5.776016235E0,-8.499145508E-2,9.586975098E0,1.119284051E1
1.057836229E0,-5.601837158E0,-2.106933594E-1,1.070327759E1,1.208243032E1
1.062841112E0,-5.460571289E0,-1.723785400E-1,9.497802734E0,1.095699822E1
1.067845995E0,-5.012268066E0,-1.185150146E-1,1.040400696E1,1.154903623E1
1.072850878E0,-5.134963989E0,-2.388153076E-1,1.028967285E1,1.150227175E1
1.077855761E0,-4.905120850E0,-1.867523193E-1,9.322418213E0,1.053577564E1
1.082860643E0,-5.012863159E0,-2.603759766E-1,1.070448303E1,1.182296704E1
1.087865526E0,-5.258270264E0,-4.034271240E-1,9.543289185E0,1.090350990E1
1.092870409E0,-5.015258789E0,-3.196258545E-1,9.515151978E0,1.076072017E1
1.097875292E0,-5.208587646E0,-4.638824463E-1,1.073320007E1,1.193926949E1
1.102880175E0,-5.151123047E0,-3.896636963E-1,9.425369263E0,1.074818553E1
1.107854540E0,-4.773437500E0,-2.136840820E-1,1.043513489E1,1.147708180E1
1.112859423E0,-5.037399292E0,-2.304382324E-1,1.005923462E1,1.125240839E1
1.117864306E0,-4.925476074E0,-9.217834473E-2,8.899246216E0,1.017179407E1
1.122869188E0,-4.930862427E0,-2.274475098E-1,1.074038696E1,1.182036585E1
1.127874071E0,-5.369598389E0,-3.351898193E-1,9.458892822E0,1.088189287E1
1.132848436E0,-5.212768555E0,-1.669921875E-1,9.318237305E0,1.067850125E1
1.137853319E0,-5.583877563E0,-3.333892822E-1,1.045307922E1,1.185570337E1
1.142858202E0,-5.733520508E0,-2.537841797E-1,8.841781616E0,1.054109890E1
1.147863085E0,-5.530609131E0,-1.831512451E-1,9.995193481E0,1.142475709E1
1.152837450E0,-5.775405884E0,-3.016662598E-1,9.989212036E0,1.154255919E1
1.157842333E0,-5.497085571E0,2.752685547E-2,8.717880249E0,1.030631571E1
1.162847216E0,-5.134368896E0,1.262969971E-1,1.078886414E1,1.194894490E1
1.167852099E0,-5.266052246E0,1.675415039E-2,9.327209473E0,1.071113549E1
1.172826464E0,-4.951812744E0,2.687530518E-1,9.180572510E0,1.043434661E1
1.177831347E0,-4.835693359E0,1.496429443E-1,1.065658569E1,1.170338164E1
1.182836229E0,-4.955993652E0,4.130554199E-2,8.582015991E0,9.910326821E0
1.187749559E0,-4.529235840E0,3.621215820E-1,1.003768921E1,1.101818107E1
1.192693407E0,-4.645355225E0,1.274871826E-1,9.734222412E0,1.078659650E1
1.197667772E0,-4.534011841E0,3.471527100E-1,8.289916992E0,9.455183875E0
1.202672655E0,-4.206619263E0,5.572509766E-1,1.050695801E1,1.133147567E1
1.207677538E0,-4.510070801E0,2.920989990E-1,8.643661499E0,9.753919446E0
1.212682421E0,-4.305969238E0,5.734100342E-1,8.860946655E0,9.868462179E0
1.217687304E0,-4.094680786E0,1.867523193E-1,1.016638184E1,1.096159691E1
1.222692186E0,-3.711013794E0,-1.855468750E-1,9.014175415E0,9.749944073E0
1.227697069E0,-3.207626343E0,4.321594238E-1,1.068891907E1,1.116819678E1
